Product_Name,Actual_price,Sale_price,Review,Rattings,Offer,Camera,Processor,Battery,Memory,Display,Avg_rating
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",25999,22999,2423,42821,11% off,50MP + 13MP | 32MP Front Camera,Dimensity 7400 Processor,5500 mAh Battery,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,4.5
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",15499,9999,541,7433,35% off,50MP + 2MP | 8MP Front Camera,Dimensity 6300 Processor,5000 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,4.1
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)",25999,18999,8373,129175,26% off,50MP + 13MP | 32MP Front Camera,7s Gen 2 Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.4
"POCO M7 5G (Ocean Blue, 128 GB)",13999,10299,314,5232,26% off,50MP Rear Camera | 8MP Front Camera,4 Gen 2 5G Processor,5160 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,4.2
"Motorola Edge 50 Fusion (Forest Green, 128 GB)",25999,18999,8373,129175,26% off,50MP + 13MP | 32MP Front Camera,7s Gen 2 Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.4
"Apple iPhone 16 (Ultramarine, 128 GB)",79900,69999,793,19106,12% off,48MP + 12MP | 12MP Front Camera,1 year warranty for phone and 1 year warranty for in Box Accessories.,"A18 Chip, 6 Core Processor Processor",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,4.6
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)",25999,22999,2423,42821,11% off,50MP + 13MP | 32MP Front Camera,Dimensity 7400 Processor,5500 mAh Battery,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,4.5
"Infinix Note 50s 5G+ (Titanium Grey, 256 GB)",24999,17999,1491,15483,28% off,64MP + 2MP | 13MP Front Camera,Dimensity 7300 Ultimate Processor,5500 mAh Battery,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4.4
"vivo T4 5G (Emerald Blaze, 256 GB)",27999,23999,1979,40354,14% off,50MP (OIS) + 2MP | 32MP Front Camera,Snapdragon 7s Gen 3 5G Processor,7300 mAh Battery,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,4.5
"Infinix Note 50s 5G+ (Marine Drift, 256 GB)",24999,17999,1491,15483,28% off,64MP + 2MP | 13MP Front Camera,Dimensity 7300 Ultimate Processor,5500 mAh Battery,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4.4
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"CMF by Nothing Phone 2 Pro (Black, 128 GB)",22999,18999,1311,15881,17% off,50MP + 50MP + 8MP | 16MP Front Camera,Dimensity 7300 Pro 5G Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,4.4
"POCO C75 5G (Silver Stardust, 64 GB)",10999,7699,4112,83280,30% off,50MP Rear Camera | 5MP Front Camera,4s Gen 2 5G Processor,5160 mAh Battery,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,4.3
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",13999,9999,216,7237,28% off,50MP + 2MP | 5MP Front Camera,Dimensity 6300 5G Processor,6000 mAh Battery,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,4.4
"REDMI Note 14 SE 5G (Mystique White, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"REDMI Note 14 SE 5G (Titan Black, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"realme 14x 5G (Jewel Red, 128 GB)",16999,14999,523,10608,11% off,50MP Rear Camera | 8MP Front Camera,Dimensity 6300 Processor,6000 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,4.3
"Tecno Spark Go 2 (Veil White, 64 GB)",8999,6999,41,479,22% off,13MP Rear Camera,T7250 Processor,5000 mAh Lithium Polymer Battery,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,4.2
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)",27999,20999,10862,157868,25% off,50MP + 13MP | 32MP Front Camera,7s Gen 2 Processor,5000 mAh Battery,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.4
"OPPO Reno14 5G (Forest Green, 256 GB)",44999,39999,87,762,11% off,50MP + 8MP + 50MP | 50MP Front Camera,Dimensity 8350 Processor,6000 mAh Battery,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Display,4.5
"REDMI 13 5G (Orchid Pink, 128 GB)",17999,12499,2172,42234,30% off,108MP + 2MP | 13MP Front Camera,4 Gen 2 AE Processor,5030 mAh Lithium Polymer Battery,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,4.2
"realme P3x 5G (Midnight Blue, 128 GB)",16999,12999,894,25972,23% off,50MP Rear Camera | 8MP Front Camera,Dimensity 6400 Processor,6000 mAh Battery,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,4.4
"vivo T4 5G (Phantom Grey, 256 GB)",29999,25999,505,8810,13% off,50MP (OIS) + 2MP | 32MP Front Camera,Snapdragon 7s Gen 3 5G Processor,7300 mAh Battery,12 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,4.5
"POCO M7 5G (Satin Black, 128 GB)",13999,10299,314,5232,26% off,50MP Rear Camera | 8MP Front Camera,4 Gen 2 5G Processor,5160 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,4.2
"POCO M7 Pro 5G (Lavender Frost, 128 GB)",18999,12999,1472,17015,31% off,50MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.3
"Infinix Note 50x 5G+ (Enchanted Purple, 128 GB)",16999,12999,267,2846,23% off,50MP + AI Lens | 8MP Front Camera,Dimensity 7300 Ultimate Processor,5500 mAh Battery,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,4.3
"realme P2 Pro 5G (Eagle Grey, 128 GB)",25999,16999,1251,17510,34% off,50MP + 8MP | 32MP Front Camera,7s Gen2 Processor,5200 mAh Battery,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.4
"POCO M7 Pro 5G (Olive Twilight, 128 GB)",18999,12999,1472,17015,31% off,50MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.3
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",27999,24999,1150,20940,10% off,50MP + 13MP | 32MP Front Camera,Dimensity 7400 Processor,5500 mAh Battery,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,4.5
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",33999,19999,1490,22359,41% off,50MP + 8MP + 5MP | 13MP Front Camera,Samsung Exynos 1380 Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,4.3
"realme GT 6 (Razor Green, 256 GB)",46999,28999,362,3835,38% off,50MP + 8MP + 50MP | 32MP Front Camera,8s Gen 3 Mobile Platform Processor,5500 mAh Battery,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4.5
Samsung Guru 1200,1999,948,373,5194,52% off,800 mAh Battery,,NA,4 MB RAM | 10 MB ROM,3.86 cm (1.52 inch) Display,3.1
"realme C61 (Marble Black, 128 GB)",10999,8199,719,19361,25% off,32MP Rear Camera | 5MP Front Camera,T612 Processor,5000 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,4.3
"REDMI A5 (Just Black, 128 GB)",9999,7499,96,1782,25% off,32MP Rear Camera | 8MP Front Camera,T7250 Processor,5200 mAh Battery,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,4.2
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"REDMI Note 14 SE 5G (Mystique White, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"realme P3 Pro 5G (Saturn Brown, 128 GB)",28999,19999,537,6217,31% off,50MP + 2MP | 16MP Front Camera,7s Gen 3 Mobile Platform Processor,6000 mAh Battery,8 GB RAM | 128 GB ROM,17.35 cm (6.83 inch) Display,4.4
Kechaoda A26_black,1499,884,87,2984,41% off,0MP | 0MP Front Camera,NA Processor,800 mAh Battery,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB,1.68 cm (0.66 inch) NA Display,4
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",16999,12999,2160,10301,23% off,50MP + 2MP | 8MP Front Camera,Dimensity 6300 Processor,6000 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,4.6
"IQOO Z10 Lite 5G (Cyber Green, 256 GB)",16999,13399,2,40,21% off,50MP Rear Camera,1 Year Warranty,6000 mAh Battery,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,4
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)",22999,18999,1311,15881,17% off,50MP + 50MP + 8MP | 16MP Front Camera,Dimensity 7300 Pro 5G Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,4.4
"REDMI Note 14 SE 5G (Titan Black, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"vivo T4 5G (Phantom Grey, 128 GB)",25999,21999,1979,40354,15% off,50MP (OIS) + 2MP | 32MP Front Camera,Snapdragon 7s Gen 3 5G Processor,7300 mAh Battery,8 GB RAM | 128 GB ROM,17.2 cm (6.77 inch) Display,4.5
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",27999,24999,1150,20940,10% off,50MP + 13MP | 32MP Front Camera,Dimensity 7400 Processor,5500 mAh Battery,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,4.5
"vivo T4 5G (Emerald Blaze, 256 GB)",29999,25999,505,8810,13% off,50MP (OIS) + 2MP | 32MP Front Camera,Snapdragon 7s Gen 3 5G Processor,7300 mAh Battery,12 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,4.5
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",1599,1319,10312,162924,17% off,0MP | 0MP Front Camera,SC6531E Processor,1000 mAh Battery,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,3.9
"OPPO Reno14 5G (Pearl White, 256 GB)",42999,37999,135,1129,11% off,50MP + 8MP + 50MP | 50MP Front Camera,Dimensity 8350 Processor,6000 mAh Battery,8 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Display,4.4
"realme P2 Pro 5G (Parrot Green, 128 GB)",25999,16999,1251,17510,34% off,50MP + 8MP | 32MP Front Camera,7s Gen2 Processor,5200 mAh Battery,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.4
"realme C61 (Marble Black, 64 GB)",8999,7699,322,9818,14% off,32MP Rear Camera | 5MP Front Camera,T612 Processor,5000 mAh Battery,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,4.4
"IQOO Z10X 5G (Titanium, 256 GB)",20499,16896,60,1277,17% off,50MP Rear Camera,1 Year Warranty on Handset and 6 Months Warranty on Accessories,6500 mAh Battery,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,4.3
"POCO X7 5G (Glacier Green, 128 GB)",24999,15999,1155,13142,36% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7300 Ultra Processor,5500 mAh Battery,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,4.3
"realme P3x 5G (Midnight Blue, 128 GB)",17999,13999,326,7565,22% off,50MP Rear Camera | 8MP Front Camera,Dimensity 6400 Processor,6000 mAh Battery,8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,4.4
"realme C61 (Safari Green, 128 GB)",10999,8199,719,19361,25% off,32MP Rear Camera | 5MP Front Camera,T612 Processor,5000 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,4.3
itel it2165s,1349,879,152,3041,34% off,0.3MP Rear Camera,Unisoc Processor,1200 mAh Battery,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) QVGA Display,4.1
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)",31999,24999,5328,84614,21% off,50MP + 8MP | 16MP Front Camera,Snapdragon 7 Gen 3 Processor,5500 mAh Battery,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Full HD+ AMOLED Display,4.5
"Samsung Galaxy M35 5G (Moonlight Blue, 128 GB)",25999,16798,249,3633,35% off,50MP Rear Camera,1 YEAR,6000 mAh Battery,8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,4.3
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",40999,33999,524,5417,17% off,50MP + 50MP + 10MP | 50MP Front Camera,Dimensity 8350 Processor,6000 mAh Battery,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,4.4
"realme P2 Pro 5G (Parrot Green, 256 GB)",27999,18999,1492,18824,32% off,50MP + 8MP | 32MP Front Camera,7s Gen2 Processor,5200 mAh Battery,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.4
"realme P3 5G (Space Silver, 256 GB)",22999,18499,968,13813,19% off,50MP + 2MP | 16MP Front Camera,6 Gen 4 Processor,6000 mAh Battery,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,4.4
"Nothing Phone (3a) (White, 256 GB)",29999,26999,2517,29639,10% off,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,7s Gen3 Processor,5000 mAh Battery,8 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,4.5
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"CMF by Nothing Phone 2 Pro (Black, 128 GB)",22999,18999,1311,15881,17% off,50MP + 50MP + 8MP | 16MP Front Camera,Dimensity 7300 Pro 5G Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,4.4
"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",129900,117900,127,2531,9% off,48MP + 48MP + 12MP | 12MP Front Camera,1 year warranty for phone and 1 year warranty for in Box Accessories.,"A18 Pro Chip, 6 Core Processor Processor",256 GB ROM,16.0 cm (6.3 inch) Super Retina XDR Display,4.6
"Infinix Note 50s 5G+ (Marine Drift, 128 GB)",19999,14999,86,1276,25% off,64MP + 2MP | 13MP Front Camera,Dimensity 7300 Ultimate Processor,5500 mAh Battery,6 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4.4
"REDMI Note 14 SE 5G (Mystique White, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"REDMI Note 14 SE 5G (Titan Black, 128 GB)",19999,14999,8,375,25% off,50MP + 8MP + 2MP | 20MP Front Camera,Dimensity 7025 Ultra Processor,5110 mAh Battery,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,4.1
"CMF by Nothing Phone 2 Pro (Light Green, 256 GB)",24999,20999,1311,15881,16% off,50MP + 50MP + 8MP | 16MP Front Camera,Dimensity 7300 Pro 5G Processor,5000 mAh Battery,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,4.4
"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)",22999,18999,1311,15881,17% off,50MP + 50MP + 8MP | 16MP Front Camera,Dimensity 7300 Pro 5G Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,4.4
"CMF by Nothing Phone 2 Pro (Orange, 256 GB)",24999,20999,1311,15881,16% off,50MP + 50MP + 8MP | 16MP Front Camera,Dimensity 7300 Pro 5G Processor,5000 mAh Battery,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,4.4
"Samsung Galaxy S24 FE 5G (Graphite, 128 GB)",59999,35999,1048,13068,40% off,50MP + 12MP | 10MP Front Camera,Exynos 2400e Processor,4700 mAh Battery,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.5
"Samsung Galaxy S24 FE 5G (Mint, 128 GB)",59999,35999,1048,13068,40% off,50MP + 12MP | 10MP Front Camera,Exynos 2400e Processor,4700 mAh Battery,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.5
"POCO X7 Pro 5G (Obsidian Black, 256 GB)",31999,22999,1153,8288,28% off,50MP + 8MP | 20MP Front Camera,Dimensity D8400 Ultra Processor,6550 mAh Battery,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,4.3
"realme P3 5G (Nebula Pink, 256 GB)",22999,18499,968,13813,19% off,50MP + 2MP | 16MP Front Camera,6 Gen 4 Processor,6000 mAh Battery,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,4.4
"Samsung Galaxy S24 FE 5G (Blue, 256 GB)",65999,41999,1048,13068,36% off,50MP + 12MP | 10MP Front Camera,Exynos 2400e Processor,4700 mAh Battery,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,4.5
